age_bracket,education_level,household_income,socioeconomic_class,housing_status,constituency_leaning,vote_national,vote_local,satisfaction_national_government,importance_economy,importance_social_issues,support_welfare_spending,tax_on_wealthy,trust_mainstream_media,concern_political_corruption,climate_priority,immigration_policy_stance,trust_public_institutions,2028__winner,is_fiscally_conservative,is_climate_priority,is_media_skeptic,is_snp_region,is_reform_minded,is_social_justice_focused,education_score,income_score,media_trust_score,gov_satisfaction_score
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
55–64,bachelor’s degree,"£60,000+",upper middle class,homeowner,conservative-leaning,yes,yes,satisfied,very important,important,oppose,oppose,high,somewhat concerned,no,restrictive,high,con,0,0,0,0,0,0,2.0,2.0,3,3
25–34,master’s degree,"£20,000–£40,000",middle class,renter,green-leaning,yes,yes,neutral,important,very important,support,support,medium,very concerned,yes,more open,medium,green,0,1,0,0,0,0,2.0,1.0,2,2
